"","alpha","gamma","luce"
"gamma",0.00046810692812338,0.00338577298604104,0.00118164083707814
"luce",-0.0252471925836328,0.00118164083707814,0.0363367384805845
"alpha",0.0254558011756947,-0.00398556385651437,-0.0259990773505751
"gamma",-0.00398556385651437,0.00769329859523187,0.00339794975479488
"luce",-0.0259990773505751,0.00339794975479488,0.0454504441192022
"alpha",0.0217912402375997,-0.00452142590066278,-0.0220461631616536
"gamma",-0.00452142590066278,0.00994237582814868,0.00245540730528415
"luce",-0.0220461631616536,0.00245540730528415,0.038842565751808
"alpha",0.0178214210058767,-0.00123648741452104,-0.00331511153271061
"gamma",-0.00123648741452104,0.0204130493243213,0.000192256945314939
"luce",-0.00331511153271061,0.000192256945314939,0.00654273321540548
"alpha",0.0237298437473065,-0.000965225759232647,-0.0103401427980597
"gamma",-0.000965225759232647,0.0097056790489245,0.000606941029255463
"luce",-0.0103401427980597,0.000606941029255463,0.0170423988816084
"alpha",0.0248650564833996,-0.000398179742617939,-0.0206155720251247
"gamma",-0.000398179742617939,0.00628150395884165,0.00808453588649067
"luce",-0.0206155720251247,0.00808453588649067,0.0414715876443383
"alpha",0.0235142003248493,-0.00125223181671764,-0.0259005542528332
"gamma",-0.00125223181671764,0.0063644210186548,0.000604977600278191
"luce",-0.0259005542528332,0.000604977600278191,0.0454074711573587
"alpha",0.0376152773729191,0.00107764269634261,-0.0294350001006697
"gamma",0.00107764269634261,0.00552487374986643,0.00317231909936781
"luce",-0.0294350001006697,0.00317231909936781,0.0319491899654296
"alpha",0.0283476660898709,5.05121904416564e-05,-0.0290408654684325
"gamma",5.05121904416564e-05,0.00538595111638051,0.0062667903070756
"luce",-0.0290408654684325,0.0062667903070756,0.0494547805126696
"alpha",0.0411903497322819,-0.000621713884432809,-0.0391363730808441
"gamma",-0.000621713884432809,0.00448401399813515,0.00335304332486711
"luce",-0.0391363730808441,0.00335304332486711,0.045058972928388
"alpha",0.0159214396571572,0.000530950943986002,-0.0128004691057785
"gamma",0.000530950943986002,0.00115713240350939,0.00125034305597469
"luce",-0.0128004691057785,0.00125034305597469,0.0228453437836151
"alpha",0.0217890709058378,0.00212441979799156,-0.0101882630914201
"gamma",0.00212441979799156,0.00700413461073801,0.00532068579635181
"luce",-0.0101882630914201,0.00532068579635181,0.0228697232090638
"alpha",0.00769259471517355,-0.00105459397097904,-0.00738703423034633
"gamma",-0.00105459397097904,0.00207402013392829,0.00103257000122575
"luce",-0.00738703423034633,0.00103257000122575,0.0160432733927017
"alpha",0.022162345646437,-0.00115607039869685,-0.0258668905059722
"gamma",-0.00115607039869685,0.000862801259665234,0.00234958891542079
"luce",-0.0258668905059722,0.00234958891542079,0.041837306847374
"alpha",0.0268859728705037,0.000846002441347855,-0.0276675938755326
"gamma",0.000846002441347855,0.00437982816870415,0.00363637643772367
"luce",-0.0276675938755326,0.00363637643772367,0.0413269127334807
"alpha",0.00894964711647908,-0.000294022886930862,-0.00132045353630163
"gamma",-0.000294022886930862,0.018150718405079,-1.54771206169414e-05
"luce",-0.00132045353630163,-1.54771206169414e-05,0.00475921561861463
"alpha",0.0209629734845503,0.000721002215129007,-0.0210546013113499
"gamma",0.000721002215129007,0.00466104231568672,0.00266509792571918
"luce",-0.0210546013113499,0.00266509792571918,0.0331559368149818
"alpha",0.0368506534465421,-0.00371676987944493,-0.0352427032919784
"gamma",-0.00371676987944493,0.0124808231663834,0.00119383009195778
"luce",-0.0352427032919784,0.00119383009195778,0.0520259995486029
"alpha",0.0341854742478506,-0.000605330489528666,-0.0336053106385629
"gamma",-0.000605330489528666,0.00562947533791217,0.00680224788520833
"luce",-0.0336053106385629,0.00680224788520833,0.0502888549073425
"alpha",0.00948205019394242,-0.00291469506290009,-0.00903070203979208
"gamma",-0.00291469506290009,0.00960880412676388,0.00157054989924929
"luce",-0.00903070203979208,0.00157054989924929,0.0186993726197029
"alpha",0.01602428813218,-0.00186586047634964,-0.0172677841890156
"gamma",-0.00186586047634964,0.0131956735123747,0.000949271235149434
"luce",-0.0172677841890156,0.000949271235149434,0.0471035343951189
"alpha",0.0309941274684691,-0.000333901676712584,-0.031798704216383
"gamma",-0.000333901676712584,0.00280334980701407,0.00141392477056758
"luce",-0.031798704216383,0.00141392477056758,0.0402621706028348
"alpha",0.0291155907103303,0.00057363624837023,-0.030416325081531
