"","alpha","beta","gamma","delta","lambda","luce"
"luce",-0.00233482435903987,-0.00695785133379879,-0.00729961864270373,-0.00673537647316897,-0.0165942772144975,0.0694998376722736
"alpha",0.0212796927655134,-2.91638877498525e-05,-0.00328998377278524,0.00706668948053462,-0.00262701600802847,-0.00975699438226392
"beta",-2.91638877498525e-05,0.0650836609182398,0.00386841256701288,-0.0272391274340104,-0.0077968724571616,0.00341344334799962
"gamma",-0.00328998377278524,0.00386841256701288,0.048159074546446,-0.00241508887487092,-0.0139817465378688,-0.00311517085348129
"delta",0.00706668948053462,-0.0272391274340104,-0.00241508887487092,0.0494901586323349,-0.0470726261230669,-0.0139804060144368
"lambda",-0.00262701600802847,-0.0077968724571616,-0.0139817465378688,-0.0470726261230669,1.29787243040813,-0.00190094914019379
"luce",-0.00975699438226392,0.00341344334799962,-0.00311517085348129,-0.0139804060144368,-0.00190094914019379,0.0814443625288676
"alpha",0.0477901205513771,0.00630713602727762,6.15724986401885e-05,0.00488030624714411,0.0589521832774377,0.00294226372390255
"beta",0.00630713602727762,0.00831945375421774,0.00727059941106069,0.000102519230267674,-0.0155055672663026,-0.00101159052138653
"gamma",6.15724986401885e-05,0.00727059941106069,0.0503503966376073,-0.00232450425943627,0.0230018399671456,-0.00129691854200681
"delta",0.00488030624714411,0.000102519230267674,-0.00232450425943627,0.00719418347944151,-0.00480706362663659,-0.00120831809104367
