"","alpha","beta","gamma","delta","lambda","luce"
"lambda",0.00894994153481549,-0.0186007199856664,-0.00102705838281304,-0.00745701354860401,0.791222315541855,-0.0125936977820728
"luce",-0.0049518814028373,-0.00326358770227084,-0.00262830168832017,-0.00168492066258762,-0.0125936977820728,0.0554131511081262
"alpha",0.0601341346179502,-0.00672891973287785,-0.0466279847919823,0.00390069467627497,0.00144054239628709,-0.000929109553043399
"beta",-0.00672891973287785,0.0389448994725694,0.0185979372559992,-0.0125694386853498,-0.0515488109484641,-0.00274628098483741
"gamma",-0.0466279847919823,0.0185979372559992,0.119078399151568,-0.00721971384004581,-0.0116913723800778,-0.010956554704835
"delta",0.00390069467627497,-0.0125694386853498,-0.00721971384004581,0.0109340147324436,-0.0058214529805183,-0.00473035837237113
"lambda",0.00144054239628709,-0.0515488109484641,-0.0116913723800778,-0.0058214529805183,1.30705743626741,-0.0210641761509491
"luce",-0.000929109553043399,-0.00274628098483741,-0.010956554704835,-0.00473035837237113,-0.0210641761509491,0.0836446868293987
"alpha",0.0592889085012163,0.000315598526219638,-0.0345650650621215,2.7898789618858e-05,-0.00883890918636153,-0.00104715206680615
"beta",0.000315598526219638,0.00233433481273452,0.00172697647186375,0.000343693380116685,-0.0131745575590887,-0.00292444939369039
"gamma",-0.0345650650621215,0.00172697647186375,0.0926394738923429,-0.000285405380800013,0.0244011793203117,-0.00509430482715248
"delta",2.7898789618858e-05,0.000343693380116685,-0.000285405380800013,0.000877901163875019,-0.00550708683051353,-0.00186822944618339
"lambda",-0.00883890918636153,-0.0131745575590887,0.0244011793203117,-0.00550708683051353,0.866450304595263,-0.0498839801638151
"luce",-0.00104715206680615,-0.00292444939369039,-0.00509430482715248,-0.00186822944618339,-0.0498839801638151,0.0710879390077593
"alpha",0.0426164745186268,-0.00505783793949258,-0.0178525820562158,0.00592196090944754,0.00638123268045756,-0.00523211391144613
"beta",-0.00505783793949258,0.0639757606867679,0.00458537565007272,-0.0120578218515002,-0.0103721218346678,0.000521360535050537
"gamma",-0.0178525820562158,0.00458537565007272,0.0212071834724009,-0.00198014494636826,-0.0119325969227577,-0.00677648864565876
"delta",0.00592196090944754,-0.0120578218515002,-0.00198014494636826,0.0126261915685112,-0.0358719365984902,-0.00570800535940287
"lambda",0.00638123268045756,-0.0103721218346678,-0.0119325969227577,-0.0358719365984902,1.31299117126888,-0.0107310264938795
"luce",-0.00523211391144613,0.000521360535050537,-0.00677648864565876,-0.00570800535940287,-0.0107310264938795,0.0855766138119379
"alpha",0.0715415806329674,-0.00464254577096683,-0.0365535629127992,0.00337326253332294,0.00643153013747616,0.000486582308285167
"beta",-0.00464254577096683,0.0292543759336737,0.0111773082149135,-0.00946001899605664,-0.0424360652604956,-0.0071612410681584
"gamma",-0.0365535629127992,0.0111773082149135,0.063937003989917,-0.00556941077327097,0.00177523202315719,-0.0120288651367129
"delta",0.00337326253332294,-0.00946001899605664,-0.00556941077327097,0.0102683132681596,-0.0209011344767314,-0.00435467162472008
"lambda",0.00643153013747616,-0.0424360652604956,0.00177523202315719,-0.0209011344767314,1.23845412171493,9.6845062249768e-05
"luce",0.000486582308285167,-0.0071612410681584,-0.0120288651367129,-0.00435467162472008,9.6845062249768e-05,0.0838246528732859
"alpha",0.0756044036624074,-0.000931800313882478,-0.0390892366959735,2.46531430284912e-05,-0.00854729502274058,0.00474282771733615
"beta",-0.000931800313882478,0.00259969877527178,0.00180357174636503,7.88293991050089e-05,-0.0156715426397813,-0.00387999284957245
"gamma",-0.0390892366959735,0.00180357174636503,0.0728749586986802,-0.000102053589867339,0.016829519769225,-0.0109800398886208
"delta",2.46531430284912e-05,7.88293991050089e-05,-0.000102053589867339,0.000143157725419656,-0.000976293820228201,-0.0002713367242288
"lambda",-0.00854729502274058,-0.0156715426397813,0.016829519769225,-0.000976293820228201,0.867449395627336,-0.078776342838195
"luce",0.00474282771733615,-0.00387999284957245,-0.0109800398886208,-0.0002713367242288,-0.078776342838195,0.0719512386734253
"alpha",0.0584568604030816,0.000316048180839194,-0.0355539277227749,0.0031096612628834,0.0188610680495923,-0.000746274110286183
"beta",0.000316048180839194,0.0093581807582046,0.00477526706220058,0.000900810228106683,-0.0494059109200425,-0.00806541340607014
"gamma",-0.0355539277227749,0.00477526706220058,0.0738661159926798,-0.00299526541156296,-0.0362380949248504,-0.0128642108103144
"delta",0.0031096612628834,0.000900810228106683,-0.00299526541156296,0.0162657700467887,-0.0205626751884767,-0.0048918555473953
"lambda",0.0188610680495923,-0.0494059109200425,-0.0362380949248504,-0.0205626751884767,1.03115047817627,-0.104115850367628
"luce",-0.000746274110286183,-0.00806541340607014,-0.0128642108103144,-0.0048918555473953,-0.104115850367628,0.073437040851622
"alpha",0.0694407696344331,-0.000691309699571969,-0.034423742354441,0.000524154614483368,0.0170978540220601,-0.00228149947967768
"beta",-0.000691309699571969,0.00453727360224493,0.00313944701658329,0.000120849120795048,-0.0372177607733882,-0.00633848829114304
"gamma",-0.034423742354441,0.00313944701658329,0.0661786229405976,-0.000697946685723902,-0.0128316745901217,-0.00551722118745177
"delta",0.000524154614483368,0.000120849120795048,-0.000697946685723902,0.0013821421379675,-0.012345091353537,-0.00249867874610906
"lambda",0.0170978540220601,-0.0372177607733882,-0.0128316745901217,-0.012345091353537,1.11060357048941,-0.0743185359070808
"luce",-0.00228149947967768,-0.00633848829114304,-0.00551722118745177,-0.00249867874610906,-0.0743185359070808,0.07614389750128
"alpha",0.045989871160519,0.000408161276033482,-0.014798311998737,0.000291127557366521,0.00107906880534786,-0.00264754822794853
"beta",0.000408161276033482,0.00232055544938762,0.00249048885703304,0.00177362640944384,-0.0101685927232116,-0.00183783602549713
"gamma",-0.014798311998737,0.00249048885703304,0.0822062873298584,-0.000949573582530158,-0.00238447445832543,-0.00463420913683357
"delta",0.000291127557366521,0.00177362640944384,-0.000949573582530158,0.00379803731601984,-0.00481407059368043,-0.00125702123536806
"lambda",0.00107906880534786,-0.0101685927232116,-0.00238447445832543,-0.00481407059368043,0.8215673265672,-0.030750114976612
"luce",-0.00264754822794853,-0.00183783602549713,-0.00463420913683357,-0.00125702123536806,-0.030750114976612,0.0625480785066457
"alpha",0.0295958237686674,0.000669361881714476,-0.0164865332149475,0.0034969637259955,0.0259391448736708,-0.0100193706679543
"beta",0.000669361881714476,0.0117690556372602,0.0103456315483626,-0.00314924929834722,-0.0511287438887252,-0.00680862632573762
"gamma",-0.0164865332149475,0.0103456315483626,0.0571225925144064,-0.00404960508413301,-0.0357284745221211,-0.00922774730482549
"delta",0.0034969637259955,-0.00314924929834722,-0.00404960508413301,0.0079390180275638,-0.0228321367870077,-0.00796186721166115
"lambda",0.0259391448736708,-0.0511287438887252,-0.0357284745221211,-0.0228321367870077,1.2335679454178,-0.0276462025597059
"luce",-0.0100193706679543,-0.00680862632573762,-0.00922774730482549,-0.00796186721166115,-0.0276462025597059,0.0825612692370043
"alpha",0.055825525047996,0.000115491455495718,-0.0232659739171394,-0.000872088247626671,-0.00134246574299043,-0.000866630459689906
