,delta,sd,2.5%,25%,50%,75%,97.5%
deltaTemp,0.786177094,0.117761519,0.548917344,0.702306598,0.789871632,0.877018315,0.991707915
deltaTemp,0.849212241,0.109749013,0.600250664,0.777586908,0.867217287,0.940187891,0.995276356
deltaTemp,0.860203502,0.04105297,0.79229437,0.829875589,0.85552811,0.886029147,0.950301818
deltaTemp,0.290814957,0.071574645,0.155568833,0.244206466,0.289209494,0.336699586,0.435668125
deltaTemp,0.447650221,0.03764983,0.3761492,0.421846632,0.445892139,0.471385068,0.525543472
deltaTemp,0.813504752,0.049825438,0.710878497,0.779839407,0.81617789,0.850095447,0.903889223
deltaTemp,0.255851002,0.09973535,0.077739397,0.186839436,0.250442261,0.317153304,0.46252178
deltaTemp,0.769099016,0.063779478,0.65636029,0.722893079,0.764956613,0.809872377,0.909674819
deltaTemp,0.925980553,0.047120553,0.818858446,0.89531433,0.932883147,0.962439219,0.994948664
deltaTemp,0.450392817,0.052570057,0.356982387,0.413428649,0.448853824,0.482898062,0.560138702
deltaTemp,0.677666678,0.132892913,0.442654499,0.57887658,0.667822506,0.771108824,0.947244878
deltaTemp,0.89815631,0.048734876,0.809284643,0.861414046,0.896730284,0.933213076,0.990767026
deltaTemp,0.814456328,0.081275285,0.658693875,0.756620561,0.812839779,0.87218494,0.969740307
deltaTemp,0.682366979,0.079653158,0.540745917,0.626054343,0.678303109,0.73034158,0.85360737
deltaTemp,0.429077487,0.060997383,0.322548826,0.386685763,0.424973222,0.466862653,0.563001752
deltaTemp,0.467460745,0.03266892,0.407541751,0.444737749,0.466289414,0.488230608,0.535977976
deltaTemp,0.227519097,0.111689647,0.037475326,0.146148483,0.215134581,0.299532931,0.477672131
deltaTemp,0.673295197,0.211572128,0.22201135,0.533875102,0.690293956,0.844363356,0.98723289
deltaTemp,0.192692166,0.221128296,0.007122198,0.054325104,0.111452342,0.221610409,0.875936299
deltaTemp,0.518557947,0.118926583,0.305573595,0.441903132,0.512175013,0.591565119,0.769574073
deltaTemp,0.634045963,0.031637119,0.571623929,0.61120676,0.636131411,0.656351795,0.69215806
deltaTemp,0.655289219,0.036551298,0.582116011,0.630959009,0.65557928,0.679417748,0.727056562
deltaTemp,0.136648998,0.094386478,0.010440825,0.065302622,0.12210264,0.18728987,0.363241922
deltaTemp,0.390782219,0.303861645,0.015889943,0.123962135,0.296950989,0.660348206,0.9649736
deltaTemp,0.535560555,0.031868076,0.474851004,0.5134252,0.53481205,0.55605052,0.602499435
deltaTemp,0.830107974,0.061798534,0.719202009,0.785472778,0.826866661,0.870062497,0.959383235
deltaTemp,0.64929073,0.029214694,0.597760882,0.629206653,0.647261995,0.66733137,0.711486473
deltaTemp,0.407537737,0.161318124,0.130563925,0.293373258,0.394456873,0.5012342,0.763513599
deltaTemp,0.121800477,0.084586017,0.00719588,0.05696201,0.110366215,0.167343002,0.317748284
deltaTemp,0.376107373,0.246714814,0.011113461,0.124956476,0.39309897,0.611242638,0.758649473
deltaTemp,0.713028365,0.165713466,0.396310737,0.586401607,0.71967494,0.847615533,0.984258897
deltaTemp,0.69773504,0.048353742,0.611017995,0.664378876,0.696711375,0.728011376,0.80246508
deltaTemp,0.296855616,0.058586089,0.187228185,0.25853581,0.294112176,0.333447679,0.425914576
deltaTemp,0.377610747,0.066445028,0.258985895,0.333317497,0.374456608,0.417016405,0.515281807
deltaTemp,0.470819735,0.127492498,0.258895731,0.390025828,0.45833743,0.539053666,0.773964381
deltaTemp,0.193929792,0.203077699,0.006103064,0.057904703,0.115902007,0.251332651,0.789386761
deltaTemp,0.265461802,0.166130514,0.01833593,0.138364868,0.248758407,0.359102033,0.662744644
deltaTemp,0.143976094,0.098019506,0.010332481,0.07157079,0.128567382,0.197170568,0.372802043
deltaTemp,0.705876265,0.038508551,0.637755706,0.680500143,0.702655088,0.728516529,0.787453023
deltaTemp,0.268343149,0.08791386,0.098958779,0.212107642,0.268929745,0.32467897,0.446136223
deltaTemp,0.217524862,0.143106319,0.014472477,0.116804263,0.198338225,0.292663854,0.566336592
deltaTemp,0.123653052,0.113961508,0.006576167,0.047791773,0.091069406,0.160395742,0.433034675
deltaTemp,0.778515351,0.04170546,0.711535991,0.749175463,0.773142605,0.803543391,0.871894587
deltaTemp,0.52002296,0.059849713,0.415438148,0.477717829,0.516232113,0.557560263,0.647234855
deltaTemp,0.514930741,0.049371711,0.425308668,0.481429901,0.511487997,0.545337264,0.618412527
deltaTemp,0.788586688,0.071803345,0.666310095,0.735999139,0.780458797,0.836672092,0.9479438
deltaTemp,0.846474844,0.057474504,0.744977521,0.804781107,0.841768648,0.885259798,0.967344022
deltaTemp,0.355543583,0.208576134,0.020142469,0.194138076,0.346412302,0.484496163,0.830792685
deltaTemp,0.190748319,0.04133234,0.132791484,0.16045784,0.182969154,0.212644886,0.291400912
deltaTemp,0.157080198,0.14167268,0.008212054,0.064774323,0.122064226,0.206326999,0.525199987
deltaTemp,0.717563305,0.0361883,0.65220046,0.690837052,0.71569594,0.742303145,0.792446644
deltaTemp,0.700172622,0.09549135,0.538658429,0.63366319,0.688488439,0.755428306,0.930488869
deltaTemp,0.155274237,0.106811194,0.011945524,0.084707586,0.138940035,0.203506355,0.418278473
deltaTemp,0.407677145,0.028744772,0.355747914,0.387217912,0.406850398,0.426781794,0.467151227
deltaTemp,0.503775667,0.205491041,0.063944807,0.374850778,0.500135193,0.636623501,0.911406449
deltaTemp,0.729418027,0.064350426,0.617365056,0.684569011,0.723853507,0.769311959,0.863665159
deltaTemp,0.204249852,0.043593107,0.133557954,0.170560301,0.200780141,0.233419942,0.297551891
deltaTemp,0.483842846,0.044222631,0.399084032,0.453205242,0.482068854,0.514134876,0.571139305
