"","alpha","beta","gamma","delta","lambda","luce"
"delta",0.000804546893164673,-0.0129491103989194,-0.00635357912299161,0.00769302774361329,-0.0293162837199695,-0.00559527042047862
"lambda",0.00256095756129552,-0.0234637622799518,0.00552604607006148,-0.0293162837199695,1.2605158226575,-0.00668347990068821
"luce",-0.00595143332700822,0.00175563216635062,0.00828376873064065,-0.00559527042047862,-0.00668347990068821,0.0682703606997798
"alpha",0.0627393381197284,1.14378213220316e-05,-0.00747025025139124,3.00846901054468e-05,0.00427127934830215,-0.00335853605164975
"beta",1.14378213220316e-05,0.000615574861714222,7.95087522223372e-05,-0.000134584930382782,-0.00355535308341873,-0.00115282487139833
"gamma",-0.00747025025139124,7.95087522223372e-05,0.00633089189379447,-2.04136603847745e-05,-0.00203870506475821,-0.00019710068297665
"delta",3.00846901054468e-05,-0.000134584930382782,-2.04136603847745e-05,0.000120497946571979,-0.000328184754455271,7.22324373255401e-05
"lambda",0.00427127934830215,-0.00355535308341873,-0.00203870506475821,-0.000328184754455271,0.360212135875846,-0.0275246869808469
"luce",-0.00335853605164975,-0.00115282487139833,-0.00019710068297665,7.22324373255401e-05,-0.0275246869808469,0.0312049007227339
"alpha",0.0192441154088326,-0.000844837755746636,-0.00472074441254394,0.000671877482229979,-0.00599576999119251,-0.00613516239562844
"beta",-0.000844837755746636,0.0451680807744951,0.000782353082196149,-0.00695040225028333,-0.0201007778694339,-0.00531091493757083
"gamma",-0.00472074441254394,0.000782353082196149,0.00165851592119365,-4.95337770522766e-05,0.00145682354722348,-0.00273822580494958
"delta",0.000671877482229979,-0.00695040225028333,-4.95337770522766e-05,0.00202514161715211,-0.0161163543092169,-0.00251540529218897
"lambda",-0.00599576999119251,-0.0201007778694339,0.00145682354722348,-0.0161163543092169,1.32645883042514,4.88904911701908e-05
"luce",-0.00613516239562844,-0.00531091493757083,-0.00273822580494958,-0.00251540529218897,4.88904911701908e-05,0.0795934713937826
"alpha",0.0565832393919105,-0.00071480916391806,-0.00736932054888644,0.0016964261024533,-0.00192867559700513,-0.00568622256456582
"beta",-0.00071480916391806,0.0167697498863566,0.000834128439061556,-0.00472028904028155,-0.0471285019329167,-0.00725937313697411
"gamma",-0.00736932054888644,0.000834128439061556,0.00434487295049769,-0.000279798902890022,0.00330721552410158,-0.00203313774736115
"delta",0.0016964261024533,-0.00472028904028155,-0.000279798902890022,0.00384892236299391,-0.0112527359995585,-0.00249659351828916
"lambda",-0.00192867559700513,-0.0471285019329167,0.00330721552410158,-0.0112527359995585,1.10775286048446,-0.0521929008047839
"luce",-0.00568622256456582,-0.00725937313697411,-0.00203313774736115,-0.00249659351828916,-0.0521929008047839,0.0762219077435374
"alpha",0.00834296078739344,0.000509282082020106,0.00331500272993616,5.67261143313057e-05,0.012152264154424,-0.0063084988805561
"beta",0.000509282082020106,0.0011503184995999,0.000513580028084052,-2.49559948607496e-05,-0.00754641408627807,-0.00248072877022364
