"","beta","delta","lambdaluce"
"delta",-0.00618879011680508,0.00841573955998016,0.0450977471414883
"lambdaluce",-0.173245340092649,0.0450977471414883,1.78002099154716
"beta",0.0481288020305212,-0.00724302043880276,-0.159367633468251
"delta",-0.00724302043880276,0.0130550798924099,0.0589153261052985
"lambdaluce",-0.159367633468251,0.0589153261052985,1.963637058175
"beta",0.0546876612603013,-0.0034439961809219,-0.0673130991423734
"delta",-0.0034439961809219,0.022050384992397,0.00307371525412693
"lambdaluce",-0.0673130991423734,0.00307371525412693,0.402592306421543
"beta",0.0519852456649393,0.000194193825141116,-0.063448248981405
"delta",0.000194193825141116,0.0241703071143847,0.0182224338557762
"lambdaluce",-0.063448248981405,0.0182224338557762,0.442674319944232
"beta",0.0784100918988002,-0.00158486415356912,-0.0759919196860386
"delta",-0.00158486415356912,0.00374552550985373,-0.00615101750836177
"lambdaluce",-0.0759919196860386,-0.00615101750836177,1.82935102035275
"beta",0.0676810727681321,-0.00448810419254679,-0.140646016969805
"delta",-0.00448810419254679,0.00669358149974367,0.0297943380176649
"lambdaluce",-0.140646016969805,0.0297943380176649,1.30204485238421
"beta",0.0616701513654635,-0.000260550933839083,-0.15707294072059
"delta",-0.000260550933839083,0.010324889197142,0.0332832998510188
"lambdaluce",-0.15707294072059,0.0332832998510188,1.19474817943268
"beta",0.0340526097329351,-0.000457994605970422,-0.0327127260773874
"delta",-0.000457994605970422,0.0158339018165994,0.0168577050973039
"lambdaluce",-0.0327127260773874,0.0168577050973039,0.702194315739363
"beta",0.0720691929299676,0.00176185684693186,-0.0715255096284258
"delta",0.00176185684693186,0.016397111618403,0.0235507036856171
"lambdaluce",-0.0715255096284258,0.0235507036856171,0.301688395387649
"beta",0.0582105000932915,0.000502023375558982,-0.0805730803706534
"delta",0.000502023375558982,0.0159866048238956,0.0132527793994539
"lambdaluce",-0.0805730803706534,0.0132527793994539,0.491760363554536
"beta",0.0563759964792088,-0.00469347168574913,-0.0720653296872176
"delta",-0.00469347168574913,0.00447039678777777,0.00997688130952697
"lambdaluce",-0.0720653296872176,0.00997688130952697,1.57333123826039
"beta",0.0652564170576135,-0.00168935018364637,-0.125119997067538
"delta",-0.00168935018364637,0.0108633361283495,0.0107324089386998
"lambdaluce",-0.125119997067538,0.0107324089386998,0.797580839302977
"beta",0.0231836692108365,-0.00181815486777422,-0.0517341648808173
"delta",-0.00181815486777422,0.0115324279978477,0.0109806788595895
"lambdaluce",-0.0517341648808173,0.0109806788595895,1.46025393543539
"beta",0.0438574045104724,-0.000574629076102927,-0.0711826326044342
"delta",-0.000574629076102927,0.0412731684393241,0.0207379552101714
"lambdaluce",-0.0711826326044342,0.0207379552101714,0.502436236176795
"beta",0.052719095919391,-0.00735228587328175,-0.115703249319138
"delta",-0.00735228587328175,0.0130234096551788,0.0409315218568984
"lambdaluce",-0.115703249319138,0.0409315218568984,1.76899847155402
"beta",0.0438907678398919,-0.00322520313394421,-0.120015741709972
"delta",-0.00322520313394421,0.00808549408988899,0.0501012561727236
"lambdaluce",-0.120015741709972,0.0501012561727236,1.74834747059604
"beta",0.0672973976265203,-0.00471759757563595,-0.0991058403582788
"delta",-0.00471759757563595,0.0176946941115121,0.0402809204975783
"lambdaluce",-0.0991058403582788,0.0402809204975783,0.513978498415552
"beta",0.0590286310098682,0.00143940775007789,-0.0883720984265433
"delta",0.00143940775007789,0.0167286147524234,0.0112079452316742
"lambdaluce",-0.0883720984265433,0.0112079452316742,0.503929914420603
"beta",0.0527475141230802,-0.00811752928001497,-0.104684095024933
"delta",-0.00811752928001497,0.00926680290259983,0.0503082820672294
"lambdaluce",-0.104684095024933,0.0503082820672294,1.83659110280269
"beta",0.0683926651172986,0.00121670242706655,-0.133797636040053
"delta",0.00121670242706655,0.00728602743291414,-0.00122822663799242
"lambdaluce",-0.133797636040053,-0.00122822663799242,0.814529906557601
"beta",0.0704315448017711,-0.000956529926824394,-0.108360199792086
"delta",-0.000956529926824394,0.00442162166044708,6.62462106341308e-06
"lambdaluce",-0.108360199792086,6.62462106341308e-06,0.678097743664807
"beta",0.0649398770864742,0.000155959733037846,-0.066420616197866
"delta",0.000155959733037846,0.0106944592600577,0.0382016731558049
"lambdaluce",-0.066420616197866,0.0382016731558049,1.87257798608924
"beta",0.0409265744466735,-0.000459454810713628,-0.149047989721454
"delta",-0.000459454810713628,0.00934049543209851,0.0190988640500095
"lambdaluce",-0.149047989721454,0.0190988640500095,1.80245489536803
"beta",0.0545763877575687,-0.00553455205271103,-0.164350652474612
"delta",-0.00553455205271103,0.0163375945426227,0.0390125791555734
"lambdaluce",-0.164350652474612,0.0390125791555734,1.67357197501045
"beta",0.0490162362414442,-0.0034821584346795,-0.0920710429718679
